    0.300067687595343680E+01    0.270000955657173520E+02    0.597323617311797989E+03
    0.300003294593350223E+01    0.269788824908064271E+02    0.600954951516309848E+03
    0.299814949007765730E+01    0.269316197781313100E+02    0.601184478583340251E+03
    0.299816190984807562E+01    0.269331638501936155E+02    0.601582925726796361E+03
    0.300076695111065117E+01    0.270222111522238144E+02    0.602149374861239266E+03
    0.299823209264619761E+01    0.269568435140109912E+02    0.602190130575661669E+03
    0.299933883337165152E+01    0.269576324603505988E+02    0.602478189148995284E+03
    0.300072875451116428E+01    0.270278001537743222E+02    0.602521284920061248E+03
    0.300023209689923398E+01    0.269911146546719323E+02    0.602738137884735124E+03
    0.299892569534454179E+01    0.269885164154110520E+02    0.602911243009866666E+03
    0.299884281570319056E+01    0.269457679716758207E+02    0.603061298601192561E+03
    0.299822971819269979E+01    0.269499147978779732E+02    0.603274620120693385E+03
    0.300020662150534001E+01    0.270245503919328875E+02    0.603429994391726154E+03
    0.299995198479294345E+01    0.270194017820522774E+02    0.603456796002677038E+03
    0.299954844227882989E+01    0.270084406570812519E+02    0.603592284487499114E+03
    0.300055004727596142E+01    0.270132066676155027E+02    0.603776273791137100E+03
    0.299863728917092720E+01    0.269739100323850245E+02    0.603783357175850369E+03
    0.300046792903010795E+01    0.270256113042831494E+02    0.603809855758059939E+03
    0.299883050113509508E+01    0.269473633245748232E+02    0.603822032660635500E+03
    0.299831688544557329E+01    0.269443303589429917E+02    0.603928227372204333E+03
    0.299839599104400323E+01    0.269597840484711426E+02    0.603941155152949705E+03
    0.299882081780013410E+01    0.269477024531223393E+02    0.604025976663139431E+03
    0.299947166599045234E+01    0.270049679298382657E+02    0.604113854114769538E+03
    0.299846216692363443E+01    0.269629076491845865E+02    0.604197106102737621E+03
    0.299951380872869988E+01    0.270059193346081869E+02    0.604258240932663398E+03
    0.300034809100157274E+01    0.270234256368087848E+02    0.604274440152143029E+03
    0.299891672185858438E+01    0.269848059066897683E+02    0.604309922324181798E+03
    0.300051265216298502E+01    0.270209198534353092E+02    0.604317487091450175E+03
    0.299887093279260375E+01    0.269496056720325186E+02    0.604352158557105099E+03
    0.299917073500615228E+01    0.269943490798358710E+02    0.604379118094865476E+03
